tag,user,act,exp,par
regex,1960,1,13.0,2
regex,1574827,1,2.0,0
regex,1965,1,2.0,0
regex,1968,90,5.17777777778,109
regex,1969,2,-3.5,0
regex,1312694,1,0.0,0
regex,1976,1,1.0,0
regex,1980,4,0.25,4
regex,1312712,1,0.0,0
regex,1993,4,1.0,0
regex,264140,1,0.0,0
regex,2006,1,1.0,0
regex,2009,12,5.91666666667,19
regex,2016,1,0.0,0
regex,2025,3,2.0,2
regex,264177,1,2.0,0
regex,2035,3,0.333333333333,0
regex,1050612,1,1.0,0
regex,264181,1,4.0,0
regex,2038,1,6.0,6
regex,526329,1,1.0,0
regex,2044,1,29.0,3
regex,2063,0,0,1
regex,1574931,0,0,1
regex,264215,1,5.0,0
regex,2076,0,0,2
regex,788509,2,9.0,0
regex,526367,2,-0.5,3
regex,1136304,4,1.0,0
regex,2083,1,17.0,0
regex,2090,3,0.666666666667,3
regex,1574959,2,2.0,1
regex,1050672,3,0.666666666667,1
regex,526386,1,0.0,0
regex,2106,1,2.0,12
regex,1050685,1,0.0,0
regex,264257,0,0,1
regex,2114,1,0.0,0
regex,2118,1,4.0,2
regex,2119,11,6.09090909091,2
regex,264264,2,1.0,0
regex,2123,1,1.0,1
regex,2128,0,0,1
regex,2131,2,1.0,0
regex,264276,1,1.0,0
regex,2133,13,4.0,8
regex,2134,1,1.0,0
regex,2135,0,0,1
regex,2138,1,1.0,0
regex,2146,1,6.0,1
regex,2147,1,2.0,0
regex,2150,0,0,1
regex,1312873,0,0,1
regex,788594,1,0.0,0
regex,2169,1,3.0,1
regex,2170,2,2.5,0
regex,2173,0,0,1
regex,2174,0,0,1
regex,526470,3,1.33333333333,6
regex,1005249,1,0.0,0
regex,1312904,1,2.0,0
regex,2186,2,0.5,0
regex,526477,3,0.0,3
regex,264338,1,2.0,0
regex,2197,1,16.0,1
regex,2199,4,2.0,1
regex,1050784,1,1.0,0
regex,526502,1,5.0,0
regex,1312935,1,2.0,0
regex,1050800,1,7.0,0
regex,371,2,1.0,1
regex,2238,5,1.8,0
regex,2239,1,0.0,0
regex,2242,1,4.0,0
regex,96094,0,0,4
regex,2245,1,1.0,0
regex,2246,3,2.33333333333,0
regex,526535,127,2.38582677165,70
regex,874188,106,1.24528301887,344
regex,264395,16,1.3125,8
regex,2257,4,12.5,0
regex,2260,25,1.96,14
regex,2266,1,0.0,0
regex,788700,1,0.0,0
regex,526560,1,1.0,0
regex,2273,2,1.0,4
regex,2274,1,-1.0,0
regex,2283,1,1.0,0
regex,2287,1,2.0,0
regex,2291,1,2.0,0
regex,264436,1,1.0,0
regex,788725,0,0,1
regex,1313023,1,3.0,0
regex,2309,0,0,1
regex,2314,1,15.0,1
regex,1050902,1,0.0,0
regex,264471,3,1.0,12
regex,2328,1,3.0,0
regex,526622,1,0.0,0
regex,264480,1,7.0,1
regex,2338,1,239.0,0
regex,2356,1,7.0,0
regex,2362,5,2.2,3
regex,2363,3,4.0,1
regex,175157,0,0,1
regex,2368,2,3.5,1
regex,2373,1,0.0,0
regex,264518,3,0.0,0
regex,2377,1,1.0,0
regex,2385,1,1.0,0
regex,2386,2,8.0,0
regex,2391,2,2.5,5
regex,264540,0,0,2
regex,2405,0,0,2
regex,264557,0,0,1
regex,2421,1,1.0,0
regex,2422,0,0,1
regex,1313143,3,0.0,9
regex,2424,7,1.57142857143,10
regex,788857,1,0.0,0
regex,788864,2,0.5,1
regex,2434,1,2.0,1
regex,264584,1,1.0,0
regex,264586,1,0.0,0
regex,2443,4,24.5,2
regex,788883,14,3.28571428571,8
regex,2452,3,2.0,1
regex,526741,6,1.5,8
regex,788887,0,0,2
regex,788889,1,1.0,0
regex,788892,1,0.0,0
regex,264607,2,1.0,2
regex,2464,1,1.0,3
regex,2469,0,0,2
regex,2474,2,-1.0,0
regex,2484,2,1.0,0
regex,1835422,1,-4.0,0
regex,2486,5,8.4,0
regex,2490,1,1.0,0
regex,2491,3,0.0,2
regex,2492,1,1.0,0
regex,2493,0,0,1
regex,2495,2,0.0,1
regex,2497,2,0.5,0
regex,2509,15,2.13333333333,58
regex,264654,1,0.0,0
regex,2517,1,10.0,0
regex,2518,2,0.5,0
regex,526808,0,0,2
regex,264669,1,2.0,0
regex,2531,1,1.0,0
regex,2541,10,28.5,2
regex,2543,1,0.0,3
regex,2548,6,2.5,5
regex,264694,0,0,1
regex,526839,1,0.0,0
regex,264697,1,0.0,6
regex,672221,0,0,1
regex,1313277,1,2.0,0
regex,526849,0,0,1
regex,2567,6,1.5,5
regex,526856,1,0.0,0
regex,526859,1,3.0,0
regex,524717,19,1.78947368421,47
regex,2576,0,0,1
regex,2581,3,1.0,1
regex,2583,3,1.66666666667,0
regex,2590,2,0.5,0
regex,1313312,1,4.0,0
regex,2596,5,7.2,3
regex,526885,1,0.0,0
regex,2598,46,5.39130434783,40
regex,2603,10,17.5,2
regex,2605,0,0,1
regex,526895,0,0,1
regex,2611,6,4.16666666667,0
regex,1051191,0,0,1
regex,2622,0,0,1
regex,2626,1,10.0,0
regex,264775,1,0.0,1
regex,2635,1,7.0,10
regex,2638,1,1.0,0
regex,2644,1,0.0,0
regex,2645,1,1.0,0
regex,2648,4,2.0,4
regex,264794,1,-1.0,0
regex,264795,3,3.0,1
regex,264802,0,0,1
